,MNN_ID,MNN_NAME,MNN_CODE
223,929,"Аллантоин, Повидон-Йод",allantoin_povidon_yod
224,1080,"Боярышник цветки и листья, Боярышник плоды, Гвайфенезин, Зверобоя трава, Хмель, Мелисса, Пассифлора, ",boyaryshnik_tsvetki_i_listya_boyaryshnik_plody_gvayfenezin_zveroboya_trava_khmel_melissa_passiflora
225,748,Гексэтидин,geksetidin
227,765,"Подорожника экстракт, Тимьяна экстракт, Чабреца экстракт",podorozhnika_ekstrakt_timyana_ekstrakt_chabretsa_ekstrakt
230,255,Троксерутин,trokserutin
231,29,Офлоксацин,ofloksatsin
232,806,Оксиконазол,oksikonazol
233,507,Ранитидин,ranitidin
235,663,Изотретиноин,izotretinoin
237,1337,Интерферон альфа-2a,interferon_alfa_2a
238,1059,"Бенсеразид, Леводопа",benserazid_levodopa
239,609,"Леводопа, Бенсеразид",levodopa_benserazid
241,193,Орнидазол,ornidazol
243,812,Прокарбазин,prokarbazin
244,2098,"Пириметамин, Сульфадоксин",pirimetamin_sulfadoksin
246,707,Флумазенил,flumazenil
247,792,Мефлохин,meflokhin
248,1639,Орлистат,orlistat
251,398,Филграстим,filgrastim
252,1268,Дорназа альфа,dornaza_alfa
253,709,Третиноин,tretinoin
254,2537,Кальцитриол,kaltsitriol
255,627,"Ко-тримоксазол Сульфаметоксазол, Триметоприм",ko_trimoksazol_sulfametoksazol_trimetoprim
257,584,Аморолфин,amorolfin
263,133,Ксилометазолин,ksilometazolin
264,772,Летрозол,letrozol
265,78,Циклоспорин,tsiklosporin
267,1112,"Валсартан, Гидрохлоротиазид",valsartan_gidrokhlorotiazid
268,198,Тербинафин,terbinafin
269,43,Кальцитонин,kaltsitonin
270,429,Ривастигмин,rivastigmin
274,1111,Валсартан,valsartan
276,201,Тизанидин,tizanidin
281,493,Карбамазепин,karbamazepin
288,279,Октреотид,oktreotid
290,1031,Базиликсимаб,baziliksimab
291,295,Формотерол,formoterol
292,468,Трописетрон,tropisetron
295,1382,"Кальция лактоглюконат, Кальция карбонат",kaltsiya_laktoglyukonat_kaltsiya_karbonat
297,522,Кломипрамин,klomipramin
299,1518,Мапротилин,maprotilin
300,440,Бутамират,butamirat
302,85,Диметинден,dimetinden
305,1644,Остеогенон,osteogenon
306,1283,Железа сульфат,zheleza_sulfat
307,543,Железа III гидроксид полимальтозат,zheleza_iii_gidroksid_polimaltozat
309,394,Будесонид,budesonid
310,813,"Бупивакаин, Эпинефрин",bupivakain_epinefrin
311,453,Фелодипин,felodipin
314,1394,Кандесартан,kandesartan
319,450,Бупивакаин,bupivakain
324,165,Омепразол,omeprazol
328,114,Метопролол,metoprolol
329,1487,"Лидокаин, Прилокаин",lidokain_prilokain
334,580,Далтепарин натрия,dalteparin_natriya
337,42,Латанопрост,latanoprost
338,793,Поливитамины парентеральное введение,polivitaminy_parenteralnoe_vvedenie
339,263,Соматропин,somatropin
340,1573,Микролакс,mikrolaks
341,2507,Маточное молочко,matochnoe_molochko
342,222,Бензилбензоат,benzilbenzoat
343,1390,"Камфора, Салициловая кислота, Сосны хвои масло",kamfora_salitsilovaya_kislota_sosny_khvoi_maslo
344,1388,"Камфора, Диметилсульфоксид, Бензилникотинат, Сосны хвои масло",kamfora_dimetilsulfoksid_benzilnikotinat_sosny_khvoi_maslo
346,477,Сульфадиазин,sulfadiazin
347,960,Аминокислоты для парентерального питания,aminokisloty_dlya_parenteralnogo_pitaniya
349,976,Амоксициллин,amoksitsillin
352,479,"Гепарин натрия, Аллантоин, Декспантенол",geparin_natriya_allantoin_dekspantenol
360,576,Метилэргометрин,metilergometrin
362,65,"Натрия хлорида раствор сложный Калия хлорид, Кальция хлорид, Натрия хлорид",natriya_khlorida_rastvor_slozhnyy_kaliya_khlorid_kaltsiya_khlorid_natriya_khlorid
363,545,Фамотидин,famotidin
365,203,Цефалексин,tsefaleksin
366,31,Эналаприл,enalapril
369,781,"Гепарин натрия, Преднизолон",geparin_natriya_prednizolon
371,326,Аскорбиновая кислотa,askorbinovaya_kislota
375,700,"Натрия лактата раствор сложный Калия хлорид, Кальция хлорид, Натрия хлорид, Натрия лактат",natriya_laktata_rastvor_slozhnyy_kaliya_khlorid_kaltsiya_khlorid_natriya_khlorid_natriya_laktat
377,2179,Лиофильно высушенные споры Bacillus cereus IP 5832,liofilno_vysushennye_spory_bacillus_cereus_ip_5832
380,867,Митомицин,mitomitsin
382,1074,Блеомицин,bleomitsin
383,2036,Этопозид,etopozid
385,1690,Пиреноксин,pirenoksin
386,1447,Криданимод,kridanimod
387,921,"Активированный уголь, Желчь, Чеснок",aktivirovannyy_ugol_zhelch_chesnok
389,197,"Бендазол, Метамизол натрия, Папаверин, Фенобарбитал",bendazol_metamizol_natriya_papaverin_fenobarbital
391,395,"Гриба березового экстр., Кобальта хлорид",griba_berezovogo_ekstr_kobalta_khlorid
392,433,Валерианы лекарственной корневища с корнями,valeriany_lekarstvennoy_kornevishcha_s_kornyami
394,347,Декстроза,dekstroza
396,417,"Йод, (Калия йодид, Этанол)",yod_kaliya_yodid_etanol
397,34,Ксантинола никотинат,ksantinola_nikotinat
398,382,Пантов благородного оленя экстр.,pantov_blagorodnogo_olenya_ekstr
399,864,"Бендазол, Папаверин",bendazol_papaverin
400,1785,Сеннозиды А И В,sennozidy_a_i_v
401,2005,Элеутерококка корневища и корни,eleuterokokka_kornevishcha_i_korni
402,171,Активированный уголь,aktivirovannyy_ugol
403,1055,Бензилпенициллин,benzilpenitsillin
404,262,Ибупрофен,ibuprofen
405,340,Пентаэритритила тетранитрат,pentaeritritila_tetranitrat
406,289,Фталилсульфатиазол,ftalilsulfatiazol
407,866,"Мяты перечной листьев масло, Фенобарбитал, Этилбромизовалерианат",myaty_perechnoy_listev_maslo_fenobarbital_etilbromizovalerianat
408,1365,"Календулы цветков экстр, Ромашки цветков экстр, Тысячелистника травы экстр.",kalenduly_tsvetkov_ekstr_romashki_tsvetkov_ekstr_tysyachelistnika_travy_ekstr
409,1421,"Кодеин, Натрия гидрокарбонат, Солодки корни, Термопсиса ланцетного трава",kodein_natriya_gidrokarbonat_solodki_korni_termopsisa_lantsetnogo_trava
410,2089,"Кодеин, Натрия гидрокарбонат, Терпингидрат",kodein_natriya_gidrokarbonat_terpingidrat
411,447,"Кодеин, Кофеин, Метамизол натрия, Фенобарбитал",kodein_kofein_metamizol_natriya_fenobarbital
412,1314,Имипрамин,imipramin
413,364,Нифедипин,nifedipin
414,156,Пирацетам,piratsetam
418,325,Амброксол,ambroksol
420,1368,Левомепромазин,levomepromazin
421,182,Нитроглицерин,nitroglitserin
422,498,"Железа сульфат, Аскорбиновая кислота",zheleza_sulfat_askorbinovaya_kislota
424,254,Диоксотетрагидрокситетрагидронафталин,dioksotetragidroksitetragidronaftalin
425,309,Гентамицин,gentamitsin
426,252,Дротаверин,drotaverin
427,744,Римантадин,rimantadin
428,1153,Гематоген,gematogen
429,25,Домперидон,domperidon
432,371,Итраконазол,itrakonazol
433,483,Кетоконазол,ketokonazol
435,187,Рисперидон,risperidon
437,12,Лоперамид,loperamid
439,515,"Глауцин, Эфедрин, Базилика обыкновенного масло",glautsin_efedrin_bazilika_obyknovennogo_maslo
440,103,Кленбутерол,klenbuterol
441,466,Поморийского озера маточный щелок,pomoriyskogo_ozera_matochnyy_shchelok
442,435,Галантамин,galantamin
446,465,Молсидомин,molsidomin
447,811,Цитизин,tsitizin
448,467,Индометацин,indometatsin
453,577,Карбомер,karbomer
454,150,Декспантенол,dekspantenol
461,147,Пустырника трава,pustyrnika_trava
462,124,Тиоктовая кислота,tioktovaya_kislota
464,1725,Прополис,propolis
467,237,Калия и магния аспарагинат,kaliya_i_magniya_asparaginat
470,151,Аминофиллин,aminofillin
471,209,"Бетакаротен, Витамин Е, Менадион, Ретинол",betakaroten_vitamin_e_menadion_retinol
473,1170,Гидроксиметилхиноксилиндиоксид,gidroksimetilkhinoksilindioksid
476,256,Лидокаин,lidokain
477,183,Папаверин,papaverin
478,830,Лактобактерии ацидофильные,laktobakterii_atsidofilnye
479,1894,"Уксусная кислота, Азотная кислота, Дигидрат щавелевой кислоты, Гексагидрат нитрата цинка",uksusnaya_kislota_azotnaya_kislota_digidrat_shchavelevoy_kisloty_geksagidrat_nitrata_tsinka
480,1895,"Уксусная кислота, Азотная кислота, Молочная кислота, Щавелевая кислота,  Нитрат меди",uksusnaya_kislota_azotnaya_kislota_molochnaya_kislota_shchavelevaya_kislota_nitrat_medi
481,1260,Депротеинизированный диализат из крови телят,deproteinizirovannyy_dializat_iz_krovi_telyat
488,177,Кетопрофен,ketoprofen
493,495,Дидрогестерон,didrogesteron
494,384,Лактулоза,laktuloza
497,615,Флувоксамин,fluvoksamin
505,698,Тропикамид,tropikamid
506,10,Интерферон альфа-2b,interferon_alfa_2b
510,684,Лансопразол,lansoprazol
511,73,Ципрофлоксацин,tsiprofloksatsin
512,1503,Ловастатин,lovastatin
515,501,"Бензалкония хлорид, Мяты перечной листьев масло, Тимол, Эвкалипта прутовидного листьев масло, Левоментол",benzalkoniya_khlorid_myaty_perechnoy_listev_maslo_timol_evkalipta_prutovidnogo_listev_maslo_levomentol
520,601,Циннаризин,tsinnarizin
521,460,"Метамизол натрия, Триацетонамин-4-толуолсульфонат",metamizol_natriya_triatsetonamin_4_toluolsulfonat
522,539,"Метамизол натрия, Питофенон, Фенпивериния бромид",metamizol_natriya_pitofenon_fenpiveriniya_bromid
524,221,"Пирацетам, Циннаризин",piratsetam_tsinnarizin
526,138,Ацикловир,atsiklovir
527,1738,Макро- и микроэлементы,makro_i_mikroelementy
528,359,Галоперидол,galoperidol
529,403,Кетотифен,ketotifen
534,591,Пироксикам,piroksikam
539,535,"Хлоргексидин, Аскорбиновая кислота",khlorgeksidin_askorbinovaya_kislota
543,164,Тимуса экстракт,timusa_ekstrakt
545,981,Анатоксин дифтерийно-столбнячный,anatoksin_difteriyno_stolbnyachnyy
547,604,Окситоцин,oksitotsin
549,2085,Сыворотка эшерихиозная,syvorotka_esherikhioznaya
550,1320,Иммуноглобулин человека антистафилококковый,immunoglobulin_cheloveka_antistafilokokkovyy
551,1336,Интерферон альфа,interferon_alfa
552,835,Вакцина для лечения стафилококковых инфекций,vaktsina_dlya_lecheniya_stafilokokkovykh_infektsiy
554,1720,Непатогенным стрептококк – Streptococcus,nepatogennym_streptokokk_streptococcus
555,1204,Гомеопатический состав,gomeopaticheskiy_sostav
570,720,Облепихи масло,oblepikhi_maslo
571,1356,Ирбесартан,irbesartan
575,46,Клопидогрел,klopidogrel
577,427,Вакцина для профилактики гриппа [инактивированная],vaktsina_dlya_profilaktiki_grippa_inaktivirovannaya
578,270,Бетагистин,betagistin
579,1527,Мебеверин,mebeverin
581,494,"Дидрогестерон, Эстрадиол",didrogesteron_estradiol
584,1401,Кардиоспермум,kardiospermum
589,275,Ондансетрон,ondansetron
590,346,Флутиказона фуроат,flutikazona_furoat
591,652,Фексофенадин,feksofenadin
593,802,Дименгидринат,dimengidrinat
595,458,Доксиламин,doksilamin
599,560,Алпростадил,alprostadil
600,796,Динопростон,dinoproston
601,462,Медроксипрогестерон,medroksiprogesteron
602,569,Метилпреднизолон,metilprednizolon
603,63,Гидрокортизон,gidrokortizon
604,2057,Бактериофаг колипротейный,bakteriofag_koliproteynyy
605,1035,Бактериофаг стафилококковый,bakteriofag_stafilokokkovyy
607,1034,Бактериофаг сальмонеллезный,bakteriofag_salmonelleznyy
609,1036,Бактериофаг стрептококковый,bakteriofag_streptokokkovyy
610,1343,Интести-бактериофаг,intesti_bakteriofag
612,1033,Бактериофаг протейный,bakteriofag_proteynyy
613,868,Бактериофаг дизентерийный,bakteriofag_dizenteriynyy
615,1027,Ацитретин,atsitretin
618,847,Лигнин гидролизный,lignin_gidroliznyy
623,161,Винпоцетин,vinpotsetin
625,323,"Белладонны листьев экстр., Фенилсалицилат",belladonny_listev_ekstr_fenilsalitsilat
628,319,Метамизол натрия,metamizol_natriya
629,218,Никотиновая кислота,nikotinovaya_kislota
631,19,Тиамазол,tiamazol
632,475,Тиамин,tiamin
633,855,Трифлуоперазин,trifluoperazin
634,1909,Фениндион,fenindion
635,1352,Йохимбина гидрохлорид,yokhimbina_gidrokhlorid
637,39,Никетамид,niketamid
643,142,Цианокобаламин,tsianokobalamin
644,691,Бромгексин,bromgeksin
647,1907,Тыквы обыкновенной семян масло,tykvy_obyknovennoy_semyan_maslo
650,1529,Меглюмина акридонацетат,meglyumina_akridonatsetat
652,1802,"Камфора, Хлоробутанол, Эвкалипта прутовид листьев масло, Левоментол",kamfora_khlorobutanol_evkalipta_prutovid_listev_maslo_levomentol
653,1996,Эксаметазим,eksametazim
654,1485,"Лидокаин, Трибенозид",lidokain_tribenozid
656,1768,Рутозид,rutozid
658,736,"Диметинден, Фенилэфрин",dimetinden_fenilefrin
661,276,Нитрофурал,nitrofural
665,1663,"Кофеин, Парацетамол",kofein_paratsetamol
667,392,"Парацетамол, Фенилэфрин, Аскорбиновая кислота",paratsetamol_fenilefrin_askorbinovaya_kislota
668,1437,"Кофеин, Кодеин, Парацетамол",kofein_kodein_paratsetamol
669,1621,Никотин,nikotin
675,771,Цефтазидим,tseftazidim
678,233,Цефуроксим,tsefuroksim
680,257,Суматриптан,sumatriptan
682,273,Этамзилат,etamzilat
683,506,Лизат бактерий Esсheriсhia сoli,lizat_bakteriy_essherishia_soli
693,1396,Капецитабин,kapetsitabin
695,90,"Гипромеллоза, Декстран",gipromelloza_dekstran
696,396,Оксалиплатин,oksaliplatin
698,728,Пароксетин,paroksetin
699,478,Сальбутамол,salbutamol
701,859,Солодки корни,solodki_korni
705,1998,"Anas barbariaelium, hepatic et cordis extractum 200К-0,01мл",anas_barbariaelium_hepatic_et_cordis_extractum_200k_0_01ml
708,597,"Алгелдрат, Бензокаин, Магния гидроксид",algeldrat_benzokain_magniya_gidroksid
709,227,Клотримазол,klotrimazol
711,33,Прогестерон,progesteron
713,632,Эстрадиол,estradiol
714,1001,"Гемицеллюлаза, Желчи компоненты, Панкреатин",gemitsellyulaza_zhelchi_komponenty_pankreatin
718,1717,Препарат растительного происхождения,preparat_rastitelnogo_proiskhozhdeniya
719,541,"Дезогестрел, Этинилэстрадиол",dezogestrel_etinilestradiol
723,304,Лизиноприл,lizinopril
726,143,Преднизолон,prednizolon
727,503,Цинка гиалуронат,tsinka_gialuronat
728,1906,Фенилбутазон,fenilbutazon
729,499,Пипекурония бромид,pipekuroniya_bromid
731,510,Мепивакаин,mepivakain
732,1953,Целекоксиб,tselekoksib
740,107,Салициловая кислота,salitsilovaya_kislota
741,200,Вазелин,vazelin
742,74,Глицерол,glitserol
743,1222,Деготь березовый,degot_berezovyy
744,1746,"Ретинол, Витамин Е, Эргокальциферол",retinol_vitamin_e_ergokaltsiferol
745,94,Формальдегид,formaldegid
749,22,Ретинол,retinol
754,1606,Натрия хлорид,natriya_khlorid
756,238,Альбумин человека,albumin_cheloveka
759,1691,Пирибедил,piribedil
761,496,Ацетиламиноянтарная кислота,atsetilaminoyantarnaya_kislota
762,497,Гидроксизин,gidroksizin
763,1313,"Имипенем, [Циластатин]",imipenem_tsilastatin
764,1327,Индинавир,indinavir
765,120,Монтелукаст,montelukast
770,366,Симвастатин,simvastatin
771,154,Финастерид,finasterid
776,388,Лозартан,lozartan
777,228,Эфавиренз,efavirenz
781,425,Нимесулид,nimesulid
782,2088,"Тернидазол, Неомицина сульфат, Нистатин, Преднизолона натрия метасульфобензоат",ternidazol_neomitsina_sulfat_nistatin_prednizolona_natriya_metasulfobenzoat
784,756,"Дексаметазон, Неомицин, Полимиксин B",deksametazon_neomitsin_polimiksin_b
785,759,"Дексаметазон, Неомицин, Полимиксин B, Фенилэфрин",deksametazon_neomitsin_polimiksin_b_fenilefrin
786,296,Топирамат,topiramat
788,407,Трипторелин,triptorelin
789,118,Комплекс ботулинический токсин типа А-гемагглютинин,kompleks_botulinicheskiy_toksin_tipa_a_gemagglyutinin
790,1856,"Тилброхинол, Тилихинол, Тилихинол N- додецилсульфа",tilbrokhinol_tilikhinol_tilikhinol_n_dodetsilsulfa
791,2032,"Этинилэстрадиол, Левоноргестрел",etinilestradiol_levonorgestrel
792,1885,"Трипсин, Панкреатин, Рутозид, Химотрипсин, Бромелаин, Липаза, Амилаза, Папаин",tripsin_pankreatin_rutozid_khimotripsin_bromelain_lipaza_amilaza_papain
795,35,Хлорамфеникол,khloramfenikol
801,294,"Полиадениловая кислота, Полиуридиловая кислота",poliadenilovaya_kislota_poliuridilovaya_kislota
802,650,Доксорубицин,doksorubitsin
803,820,Фторурацил,ftoruratsil
805,511,"Малатион, Перметрин, Пиперонил бутоксид",malation_permetrin_piperonil_butoksid
806,639,"Тримазолин, Фенилэфрин",trimazolin_fenilefrin
810,858,Аира корневища,aira_kornevishcha
811,1023,"Ацетилсалициловая кислотa, Лимонная кислотa, Натрия гидрокарбонат",atsetilsalitsilovaya_kislota_limonnaya_kislota_natriya_gidrokarbonat
812,596,Азеластин,azelastin
816,824,Алтайский экстракт,altayskiy_ekstrakt
818,2000,Биоактивный концентрат из мелкой морской рыбы,bioaktivnyy_kontsentrat_iz_melkoy_morskoy_ryby
822,130,Альфакальцидол,alfakaltsidol
826,424,Амикацин,amikatsin
829,974,Аммиак,ammiak
831,226,Ампициллин,ampitsillin
832,880,Амфотерицин B,amfoteritsin_b
833,839,Анатоксин стафилококковый,anatoksin_stafilokokkovyy
834,1295,"Зверобоя трава, Ромашки цветки, Фасоли створки, Хвоща трава, Черники побеги, Шиповника плоды, Элеуте",zveroboya_trava_romashki_tsvetki_fasoli_stvorki_khvoshcha_trava_cherniki_pobegi_shipovnika_plody_eleute
838,1028,Багульника болотного побеги,bagulnika_bolotnogo_pobegi
839,924,Гликозаминогликаны сульфатированные,glikozaminoglikany_sulfatirovannye
841,181,"Бетаметазон, Гентамицин",betametazon_gentamitsin
843,75,Бетаметазон,betametazon
845,492,"Бетаметазон, Салициловая кислота",betametazon_salitsilovaya_kislota
849,581,Бенфотиамин,benfotiamin
851,1062,Березы почки,berezy_pochki
854,317,Бифидобактерии бифидум,bifidobakterii_bifidum
858,318,Бифоназол,bifonazol
860,1053,"Бензатина бензилпенициллин, Бензилпенициллин прокаина, Бензилпенициллин",benzatina_benzilpenitsillin_benzilpenitsillin_prokaina_benzilpenitsillin
862,2096,"Бензатина бензилпенициллин, Бензилпенициллин прокаина",benzatina_benzilpenitsillin_benzilpenitsillin_prokaina
863,1076,Борная кислота,bornaya_kislota
864,536,Ботулинический токсин типа А-гемагглютинин комплекс,botulinicheskiy_toksin_tipa_a_gemagglyutinin_kompleks
865,47,Боярышника плоды,boyaryshnika_plody
868,61,Бриллиантовый зеленый,brilliantovyy_zelenyy
873,374,Тобрамицин,tobramitsin
875,1089,Брусники листья,brusniki_listya
876,1092,Бузины черной цветки,buziny_chernoy_tsvetki
879,113,Парафин жидкий,parafin_zhidkiy
